"id","title","description","price","image_link","additional_image_link","link","availability","condition","product_type"
"656530","Men Blue Plaid Short Sleeve Casual Shirt Plus Size","Premium Men Blue Plaid Short Sleeve Casual Shirt Plus Size available at best price.","4458 PKR","https://cbu01.alicdn.com/img/ibank/10942246320_412879090.jpg"," "" https://cbu01.alicdn.com/img/ibank/10911963790_412879090.jpg,https://cbu01.alicdn.com/img/ibank/10942240445_412879090.jpg,https://cbu01.alicdn.com/img/ibank/10970954761_412879090.jpg,https://cbu01.alicdn.com/img/ibank/10911984154_412879090.jpg "" ","https://yourwebsite.com/products/656530","in stock","new","shirts"
"659272","Men Blue Plaid Short Sleeve Casual Shirt Plus Size","Premium Men Blue Plaid Short Sleeve Casual Shirt Plus Size available at best price.","4458 PKR","https://cbu01.alicdn.com/img/ibank/10942246320_412879090.jpg"," "" https://cbu01.alicdn.com/img/ibank/10911963790_412879090.jpg,https://cbu01.alicdn.com/img/ibank/10942240445_412879090.jpg,https://cbu01.alicdn.com/img/ibank/10970954761_412879090.jpg,https://cbu01.alicdn.com/img/ibank/10911984154_412879090.jpg "" ","https://yourwebsite.com/products/659272","in stock","new","shirts"
"653729","Boys Long Sleeve T-Shirt White Cotton Spring","Premium Boys Long Sleeve T-Shirt White Cotton Spring available at best price.","4763 PKR","https://cbu01.alicdn.com/img/ibank/O1CN01daDrGH28XwzN2ItOz_!!2849537943-0-cib.jpg"," "" https://cbu01.alicdn.com/img/ibank/O1CN018dv0GF28XwzPgc2Be_!!2849537943-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Lurb3o28XwzQD3BRe_!!2849537943-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Q0Htfu28XwzXgEKxK_!!2849537943-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Bidot828XwzN2I1Kb_!!2849537943-0-cib.jpg "" ","https://yourwebsite.com/products/653729","in stock","new","shirts"
"646638","Men's Heavy Cotton T-Shirt Loose Fit White","Premium Men's Heavy Cotton T-Shirt Loose Fit White available at best price.","4699 PKR","https://cbu01.alicdn.com/img/ibank/O1CN01gRWVCG1FAJb8NbsqQ_!!2212147740446-0-cib.jpg"," "" https://cbu01.alicdn.com/img/ibank/O1CN01XXM2tX1FAJb8wRXgh_!!2212147740446-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01uud3Ah1FAJbC9W5ky_!!2212147740446-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01IeiuLn1FAJb8wQGhH_!!2212147740446-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01PXghwK1FAJb83aNTg_!!2212147740446-0-cib.jpg "" ","https://yourwebsite.com/products/646638","in stock","new","shirts"
"544905","1 Pc Women's Stitched Printed Shirt","Premium 1 Pc Women's Stitched Printed Shirt available at best price.","952 PKR","https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1009-9-544905-product-1.jpeg"," "" https://content.public.markaz.app/markazimagevideo/public/products/1009-9-544905-product-1.jpeg,https://content.public.markaz.app/markazimagevideo/public/products/1009-9-544905-product-1011.jpg,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1009-9-544905-product-1011.jpg,https://content.public.markaz.app/markazimagevideo/public/products/1009-9-544905-product-1012.jpg,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1009-9-544905-product-1012.jpg "" ","https://yourwebsite.com/products/544905","in stock","new","shirts"
"388032","Paw Patrol Cotton Shirt for Kids 2-7 Years","Premium Paw Patrol Cotton Shirt for Kids 2-7 Years available at best price.","994 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_388032.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_388032_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_388032_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_388032_alt_2.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_388032_alt_3.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_388032_alt_4.jpg "" ","https://yourwebsite.com/products/388032","in stock","new","shirts"
"363744","Red Graphic T-Shirt Micro Polyester Pakistan","Premium Red Graphic T-Shirt Micro Polyester Pakistan available at best price.","1316 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363744.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363744_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363744_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363744_alt_2.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363744_alt_3.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363744_alt_4.jpg "" ","https://yourwebsite.com/products/363744","in stock","new","shirts"
"525992","Chikankari Embroidered Shirt & Trouser Set Cotton Pakistan","Premium Chikankari Embroidered Shirt & Trouser Set Cotton Pakistan available at best price.","3178 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_525992.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_525992_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_525992_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_525992_alt_2.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_525992_alt_3.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_525992_alt_4.jpg "" ","https://yourwebsite.com/products/525992","in stock","new","shirts"
"387887","Men Black Cotton T-Shirt with White Logo","Premium Men Black Cotton T-Shirt with White Logo available at best price.","882 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_387887.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_387887_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_387887_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_387887_alt_2.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_387887_alt_3.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_387887_alt_4.jpg "" ","https://yourwebsite.com/products/387887","in stock","new","shirts"
"606775","Kids Embroidered Front Neck & Sleeve Shirt Set","Premium Kids Embroidered Front Neck & Sleeve Shirt Set available at best price.","3052 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_606775.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_606775_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_606775_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_606775_alt_2.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_606775_alt_3.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_606775_alt_4.jpg "" ","https://yourwebsite.com/products/606775","in stock","new","shirts"
